Dream Text;Emotion Label;Theme
I went for a run, and when I came back, the washing machine in my house in Campobasso was broken. We went to check on it, but it looked disgusting—the washing machine was completely gone, and in its place was this thing that looked like an air fryer.;disgust_disapproval;daily_life
I dreamed about hanging out with a friend at his place. We were in the kitchen getting something to drink—clinking ice cubes into glasses—and then we just sat around, catching up and chatting about this and that. The atmosphere was incredibly;joy_amusement;chilling
I was on a beach surrounded by a crowd of people. I couldn't really identify them, yet in the dream, I knew exactly who they were. At a certain point, I slipped away with just one guy, and we hid behind a tree. It felt like we were playing hide-and-seek, though;confusion_surprise;beach_and_play
I had a pet gecko and was trying to come up with the perfect name for him. The problem was, he kept escaping all the time, darting into tiny cracks, and I just couldn't track him down. I spent ages looking for him. In the end, during a visit to my grandmother's house, I spotted a little lizard on;gratitude_relif;pets
I enter a garage and there i found a suspicious man. He wanted to see the gallery of photos in my telephone. I didn't want him to see my pictures so i tried to distract him while;fear_anxiety;crimes
I was baking a sort of layered cake with my sister. The filling was a rich combination of pastry cream, chocolate, and sweet apricot jam. We were standing side by side in a messy kitchen, laughing while decorating the top. We spread the frosting and carefully;love_caring;cooking
I dreamed that my dog was really sick and was drooling excessively. Despite being in pain, he kept desperately trying to climb up on;sadness_grief;pets
I had a dream about a trip scheduled for 7:25. In the dream, I woke up and immediately started scrambling to throw my things together. My heart was pounding as I tried to hurry, but when I glanced at the clock, the numbers had shifted—it was inexplicably 7:15. Knowing I’d never catch my ride in just;fear_anxiety;being_late
"I was at a hospital with a friend; we were just there for a visit, but then I couldn't find the exit, and it turned into a total nightmare. In the end, he walked straight into the surgery department. Some guy was calling out to him, but my friend wouldn't turn around—he just kept walking straight ahead. So, I turned around instead, but the whole thing creeped me out so much that I decided to run in the opposite direction. As I fled, I had to pass through";sadness_grief;hospital
I dreamed that I was taking Professor Tardella’s exam, and I was in a total panic because I didn't know exactly when it would be my turn. I was waiting in line along a walkway that didn't look like the university at all, but rather like a restaurant. Then, my name was called because it was my;fear_anxiety;school_university_exams
We were all on vacation, but then, for some reason, the trip shifted to my house. My whole friend group was there, and we were all sleeping in a single bed—which didn't even feel strange, until Ludovica, a high school classmate of mine, came into the picture. At one point, I went to the bathroom, but my roommate Giusi was inside. I waited for her, but when she stepped out, the window was completely shattered. Thinking it was her;anger_frustation;crimes
I was inside an episode of Euphoria. Everything seemed completely normal for the show, but in the end, there was a crazy twist: one of the main characters,;sadness_grief;crimes
I was about to take my very last master's degree exam. Instead of the usual two exercises, there were three, and the question types were completely new—nothing like them had ever come up before. On top of that, there was a bonus question about the show Bridgerton. I managed to complete the entire exam until only the bonus question was left. Just as I was about to write;curiosity_surprise;school_university_exams
"An endless stream of bizarre objects and strange creatures kept manifesting out of nowhere in my bedroom. The phenomenon started with tiny things, but step by step, they escalated, growing larger and more unsettling—at one point, there was a parrot and a plush toy hovering and flying through the air. My sister and my roommates were right there with me, caught in the middle of the chaos. Then, a sudden blackout struck, plunging the entire neighborhood into pitch-black darkness. Yet, my laptop was still running; I was on";curiosity_surprise;fantasy
